professor_name,school_name,department_name,local_name,state_name,year_since_first_review,star_rating,take_again,diff_index,tag_professor,num_student,post_date,name_onlines,name_not_onlines,student_star,student_difficult,attence,for_credits,would_take_agains,grades,help_useful,help_not_useful,comments,word_comment,gender,race,asian,hispanic,nh_black,nh_white,gives_good_feedback,caring,respected,participation_matters,clear_grading_criteria,skip_class,amazing_lectures,inspirational,tough_grader,hilarious,get_ready_to_read,lots_of_homework,accessible_outside_class,lecture_heavy,extra_credit,graded_by_few_things,group_projects,test_heavy,so_many_papers,beware_of_pop_quizzes,IsCourseOnline
Sue  Davis,Denison University,Political Science department, Granville, OH,13.0,3.5,,3.5,SO MANY PAPERS (1)  Tough Grader (1)  LOTS OF HOMEWORK (1),13.0,12/12/2013,NAN,FYS10209,4.5,4.0,Mandatory,,,B,0.0,0.0,Great teacher. Very willing to help the students always available for questions. Definitely the hardest FYS on campus but she managed to make it a great learning experience. I feel much better about my own writing skills than I did before this course. She can be intimidating but she is super nice.,52.0,male,nh_black,0.0027697857,0.009523001,0.68443924,0.30326787,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Elizabeth  Allen,Philadelphia University,Writing department, Philadelphia, PA,2.0,2.4,,3.9,,21.0,09/30/2003,NAN,WR4DESGN,3.5,4.0,,,,,0.0,0.0,"Had Allen 4 last 1/2 sem. 1st teacher\'s elevator didn\'t go to the top floor so she was ""replaced"". Anything was better. Al. knew her stuff offered help outside class. Very anal checks EVERY citation don\'t forget to quote ""the"" if u",42.0,male,nh_white,0.01153358,0.07444102,0.04268707,0.87133837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian  George,Philadelphia University,Not Specified department, Philadelphia, PA,12.0,3.6,,3.0,Gives good feedback (1)  Get ready to read (1)  Clear grading criteria (1),14.0,06/23/2005,NAN,T551,2.5,2.0,,,,,0.0,0.0,Does he know his stuff? I dont think so. Ask him a question and he does not know about it. Just keeps giving stupid assignments and thinks he is doing a great job. If you want to learn something forget ths man...if u just want to pass take him,49.0,male,nh_white,0.01153358,0.07444102,0.04268707,0.87133837,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
William  Brooks,Florida Atlantic University,Biology department, Boca Raton, FL,1.0,3.5,68%,3.6,Skip class? You won\'t pass. (73)  BEWARE OF POP QUIZZES (47)  Tough Grader (39)  Hilarious (27)  LECTURE HEAVY (21)  Get ready to read (20)  EXTRA CREDIT (15)  Amazing lectures (11)  TEST HEAVY (8)  Respected (7)  Inspirational (7)  Clear grading criteria (5)  Participation matters (4)  Gives good feedback (4)  Caring (2),274.0,12/17/2017,NAN,BSC1011,5.0,5.0,Mandatory,Yes,Yes,A,3.0,5.0,The GOAT,2.0,male,hispanic,0.009557745,0.5360341,0.015778068,0.43863013,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0
Suzanne  Bernhardt,Bryn Athyn College,English department, Bryn Athyn, PA,14.0,2.6,,3.7,SO MANY PAPERS (1)  Get ready to read (1)  EXTRA CREDIT (1),16.0,08/22/2005,NAN,ENGLISH,1.0,5.0,Not Mandatory,,,C-,0.0,0.0,No Comments,2.0,male,nh_white,0.009075307,0.031216262,0.44335094,0.51635754,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Theodore  Zeman,Saint Joseph\'s University,History department, Philadelphia, PA,10.0,3.6,,3.0,Get ready to read (4)  Tough Grader (3)  LECTURE HEAVY (3)  SO MANY PAPERS (2)  Gives good feedback (1)  Participation matters (1)  TEST HEAVY (1)  Caring (1)  Hilarious (1)  Amazing lectures (1),35.0,05/11/2010,NAN,HIS2405,4.5,4.0,,,,,0.0,0.0,Very interesting class! Quizzes/ tests were challenging but if you study hard you\'ll do fine. Only drawback is that there were six required books for American Military and War. Either way I\'d take it again.,35.0,male,nh_black,0.013686804,0.06106241,0.5123842000000001,0.41286662,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
Anton  Armstrong,St. Olaf College,Music department, Northfield, MN,11.0,3.9,,3.5,,15.0,09/17/2003,NAN,MUSIC,5.0,4.0,,,,,0.0,0.0,No Comments,2.0,male,nh_white,0.023928842,0.093702205,0.039462168,0.8429068000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pat  Sawyer,Middlesex Community College,Psychology department, Middletown, CT,5.0,4.7,,1.8,,37.0,04/08/2011,NAN,PSY111,5.0,3.0,,,,,0.0,0.0,Middlesex Community College is extremely lucky to have such an amazing instructor. Prof. Sawyer is probably the best teacher the college has. She is very thorough responsive and goes out of her way to help you succeed academically. I must professor to take!!!,43.0,male,nh_white,0.046299808,0.05869125,0.07174887,0.82326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudi  Hartmann,University of Colorado Denver,Geography department, Denver, CO,14.0,2.8,,2.3,Participation matters (3)  Get ready to read (2)  LECTURE HEAVY (1),15.0,11/16/2011,NAN,GEOG1102,1.5,4.0,,,,,0.0,0.0,Nice guy but not sure what he adds to his class. He uses the power points that the book gives to him and then just reads off it. Sometimes he will use a transparency that he has written on but his hand writing is completely not legible. His TA grades everything. His mid-term covered 4 of the biggest regions and he broke it down to 12 questions.,67.0,male,hispanic,0.010951649,0.7501523,0.03321053,0.20568551,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Andy  Jones,University of California Davis,English department, Davis, CA,11.0,4.4,,3.1,Skip class? You won\'t pass. (3)  Respected (2)  BEWARE OF POP QUIZZES (1)  Gives good feedback (1)  Tough Grader (1)  Inspirational (1)  ACCESSIBLE OUTSIDE CLASS (1),44.0,09/15/2006,NAN,ENL30,5.0,2.0,,,,,0.0,0.0,Great teacher! Professor Andy Jones made the six-week quarter fly by. I liked his PowerPoint quizzes and his crazy allusions. The class is a lot of work but he grades fair. I really appreciated Andy\'s wide-eyed humor - he connects almost everything we read to other assigned works or to pop culture. I would take another class with him in a minute,62.0,male,hispanic,0.054090295,0.5785295,0.09594779,0.27143246,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
